episode_number,train_reward,train_loss,rewards_avg
0,-2,0.029670780524611473,-2.0
1,-2,0.010870967991650105,-2.0
2,-2,0.0018186932429671288,-2.0
3,-2,0.04142169654369354,-2.0
4,-2,0.0017257198924198747,-2.0
5,-2,0.0022430408280342817,-2.0
6,-2,0.0019982836674898863,-2.0
7,0,0.02090540900826454,-1.75
8,-2,1.5064266920089722,-1.7777777777777777
9,-2,0.5760162472724915,-1.8
10,-2,2.6011275622295216e-05,-1.8
11,0,0.009923425503075123,-1.6
12,-2,0.0018326485296711326,-1.6
13,-2,0.02164636366069317,-1.6
14,-2,0.13352257013320923,-1.6
15,-2,7.815466960892081e-05,-1.6
16,-2,0.0007776005659252405,-1.6
17,0,0.007028133142739534,-1.6
18,-2,0.00578767666593194,-1.6
19,0,0.015737131237983704,-1.4
20,-2,8.387688126276771e-07,-1.4
21,-2,0.00561014236882329,-1.6
22,-2,0.00022540708596352488,-1.6
23,-2,0.013161501847207546,-1.6
24,-2,0.007166868541389704,-1.6
25,-2,0.0009501277818344533,-1.6
26,-2,0.01880710758268833,-1.6
27,-2,2.866319164240849e-06,-1.8
28,-2,0.0017494350904598832,-1.8
29,-2,0.00021741278760600835,-2.0
30,-2,0.00018734432524070144,-2.0
31,-2,0.7375697493553162,-2.0
32,-2,0.14757944643497467,-2.0
33,0,0.0010219989344477654,-1.8
34,-2,0.004379837773740292,-1.8
35,-2,0.00030894798692315817,-1.8
36,-2,4.910230472887633e-06,-1.8
37,-2,0.030156634747982025,-1.8
38,-2,7.785203342791647e-05,-1.8
39,-2,0.16302239894866943,-1.8
40,-2,0.0007492330623790622,-1.8
41,0,0.0001304655015701428,-1.6
42,-2,0.3159167170524597,-1.6
43,-2,0.01790197193622589,-1.8
44,-2,6.27347981208004e-05,-1.8
45,-2,0.04963619261980057,-1.8
46,-2,0.0004866283852607012,-1.8
47,0,0.3702384829521179,-1.6
48,-2,0.0003462514141574502,-1.6
49,-2,0.001287601888179779,-1.6
50,0,0.00316728581674397,-1.4
51,-2,8.011911268113181e-05,-1.6
52,-2,0.020072972401976585,-1.6
53,-2,0.023947449401021004,-1.6
54,0,3.897643546224572e-05,-1.4
55,-2,0.0002309651463292539,-1.4
56,0,0.0046117790043354034,-1.2
57,-2,1.0997027158737183,-1.4
58,-2,0.09955784678459167,-1.4
59,-2,0.0003527506487444043,-1.4
60,-2,0.0016819925513118505,-1.6
61,-2,0.0008300732588395476,-1.6
62,-2,0.0019048902904614806,-1.6
63,-2,0.0026125165168195963,-1.6
64,-2,0.16985033452510834,-1.8
65,-2,0.5538027286529541,-1.8
66,-2,0.0029717334546148777,-2.0
67,-2,0.20628753304481506,-2.0
68,-2,0.15757684409618378,-2.0
69,-2,0.0014520722907036543,-2.0
70,-2,0.00011535291559994221,-2.0
71,-2,0.04873064532876015,-2.0
72,0,0.00013828296505380422,-1.8
73,0,0.038812655955553055,-1.6
74,-2,0.0025503775104880333,-1.6
75,-2,0.0017003152752295136,-1.6
76,-2,0.0017749443650245667,-1.6
77,-2,0.11763401329517365,-1.6
78,-2,0.0008637304417788982,-1.6
79,2,0.044836077839136124,-1.2
80,-2,0.15337254106998444,-1.2
81,-2,0.0007066247635520995,-1.2
82,-2,0.004365024156868458,-1.4
83,-2,0.0030691034626215696,-1.6
84,-2,0.006521508097648621,-1.6
85,-2,0.004913652781397104,-1.6
86,-2,0.01441741269081831,-1.6
87,-2,0.0046003577299416065,-1.6
88,-2,0.0018602370982989669,-1.6
89,-2,0.015703683719038963,-2.0
90,-2,0.08952584862709045,-2.0
91,-2,0.062272801995277405,-2.0
92,-2,0.0027503017336130142,-2.0
93,-2,0.012788545340299606,-2.0
94,-2,0.01778586395084858,-2.0
95,-2,0.12869876623153687,-2.0
96,-2,0.006158664356917143,-2.0
97,-2,0.004993341397494078,-2.0
98,0,0.03986544534564018,-1.8
99,-2,0.026058802381157875,-1.8
100,-2,0.009260441176593304,-1.8
101,-2,0.13378775119781494,-1.8
102,-2,0.02585606649518013,-1.8
103,-2,0.18328285217285156,-1.8
104,-2,0.005117546766996384,-1.8
105,-2,0.022964434698224068,-1.8
106,-2,0.006625633221119642,-1.8
107,-2,0.005253118928521872,-1.8
108,-2,0.0262802392244339,-2.0
109,-2,0.0021809078752994537,-2.0
110,-2,0.003337893867865205,-2.0
111,-2,0.0034239557571709156,-2.0
112,-2,0.00470120320096612,-2.0
113,-2,0.006420871242880821,-2.0
114,-2,0.0007992509054020047,-2.0
115,-2,0.0020796447061002254,-2.0
116,-2,0.011514144018292427,-2.0
117,-2,0.06771775335073471,-2.0
118,-2,0.17208901047706604,-2.0
119,-2,0.009426453150808811,-2.0
120,-2,0.083146832883358,-2.0
121,-2,0.07306408137083054,-2.0
122,-2,0.06490064412355423,-2.0
123,-2,0.0024271837901324034,-2.0
124,-2,0.00310591422021389,-2.0
125,0,0.0018068919889628887,-1.8
126,-2,0.0037152976728975773,-1.8
127,-2,0.05017436668276787,-1.8
128,-2,0.0061526368372142315,-1.8
129,-2,0.004012026824057102,-1.8
130,-2,0.010653477162122726,-1.8
131,-2,0.004270058125257492,-1.8
132,-2,0.18485918641090393,-1.8
133,-2,0.016422998160123825,-1.8
134,0,0.0005595808615908027,-1.6
135,-2,0.10974622517824173,-1.8
136,0,0.0031580289360135794,-1.6
137,-2,0.014180180616676807,-1.6
138,-2,0.17128786444664001,-1.6
139,-2,0.0060135191306471825,-1.6
140,0,0.021829962730407715,-1.4
141,-2,0.13013090193271637,-1.4
142,-2,0.007602384779602289,-1.4
143,-2,0.017742784693837166,-1.4
144,-2,0.0028679873794317245,-1.6
145,0,1.891405372589361e-05,-1.4
146,-2,0.12210484594106674,-1.6
147,0,0.004403335973620415,-1.4
148,-2,0.010374225676059723,-1.4
149,0,0.006723395548760891,-1.2
150,2,0.013825501315295696,-1.0
151,-2,0.007492352742701769,-1.0
152,0,0.06781139224767685,-0.8
153,0,0.003282745834439993,-0.6
154,-2,0.007493981160223484,-0.6
155,0,0.02007671445608139,-0.6
156,-2,0.011749151162803173,-0.6
157,0,0.005804300308227539,-0.6
158,-2,0.0007969086873345077,-0.6
159,-2,0.017780732363462448,-0.8
160,-2,0.000699726864695549,-1.2
161,0,0.002345533110201359,-1.0
162,0,0.0012714394833892584,-1.0
163,-2,0.02098788507282734,-1.2
164,-2,0.026344437152147293,-1.2
165,-2,0.02585373818874359,-1.4
166,0,0.0052151805721223354,-1.2
167,-2,0.0035752856638282537,-1.4
168,-2,0.018781498074531555,-1.4
169,0,0.008571049198508263,-1.2
170,0,0.001353536732494831,-1.0
171,2,0.002309407340362668,-0.8
172,-2,0.007845547050237656,-1.0
173,-2,0.003890943480655551,-1.0
174,-2,0.0780753493309021,-1.0
175,0,0.0011648254003375769,-0.8
176,-2,0.00352079002186656,-1.0
177,0,0.00032752842525951564,-0.8
178,0,0.2391379177570343,-0.6
179,0,0.06930878013372421,-0.6
180,2,0.14425469934940338,-0.4
181,-2,0.005170805379748344,-0.8
182,-2,6.970343383727595e-05,-0.8
183,-2,6.199415656737983e-05,-0.8
184,-2,0.005935591645538807,-0.8
185,-2,0.004973799455910921,-1.0
186,-2,0.04571880027651787,-1.0
187,0,0.007691823877394199,-1.0
188,-2,0.011590803042054176,-1.2
189,-2,0.022101622074842453,-1.4
190,-2,0.005891859065741301,-1.8
191,-2,0.004652379080653191,-1.8
192,-2,0.009173857979476452,-1.8
193,-2,0.084007129073143,-1.8
194,-2,0.004740741103887558,-1.8
195,-2,0.01227419450879097,-1.8
196,-2,0.05308030918240547,-1.8
197,-2,0.01206781342625618,-2.0
198,-2,0.007776698563247919,-2.0
199,0,0.012683478184044361,-1.8
