episode_number,train_reward,train_loss,rewards_avg
0,-2,1.753647804260254,-2.0
1,-2,1.5050393342971802,-2.0
2,0,1.4819644689559937,-1.3333333333333333
3,0,2.5546620236127637e-05,-1.0
4,-2,0.3042226731777191,-1.2
5,-2,1.42439866065979,-1.3333333333333333
6,-2,0.23333092033863068,-1.4285714285714286
7,-2,1.595935344696045,-1.5
8,-2,0.007403957657516003,-1.5555555555555556
9,-2,0.121361143887043,-1.6
10,-2,1.2380547523498535,-1.6
11,-2,0.06494909524917603,-1.6
12,-2,0.5440396666526794,-1.8
13,-2,1.3734948635101318,-2.0
14,0,1.0049710273742676,-1.8
15,-2,1.3432891368865967,-1.8
16,-2,0.021787241101264954,-1.8
17,0,1.300780177116394,-1.6
18,0,0.004596665035933256,-1.4
19,-2,0.045343171805143356,-1.4
20,0,0.0035066220443695784,-1.2
21,-2,0.035932768136262894,-1.2
22,0,1.2039459943771362,-1.0
23,-2,1.0749192237854004,-1.0
24,-2,0.8974037766456604,-1.2
25,-2,0.00022488155809696764,-1.2
26,-2,0.07284048199653625,-1.2
27,-2,0.01612653210759163,-1.4
28,-2,1.0470187664031982,-1.6
29,-2,0.15195691585540771,-1.6
30,-2,0.16756048798561096,-1.8
31,-2,0.9840725064277649,-1.8
32,-2,0.023881761357188225,-2.0
33,-2,0.9696617126464844,-2.0
34,0,0.0013799640582874417,-1.8
35,-2,0.0003993619466200471,-1.8
36,-2,0.012126174755394459,-1.8
37,-2,0.7742961049079895,-1.8
38,-2,0.03990112617611885,-1.8
39,-2,0.0004940369399264455,-1.8
40,2,0.6334484815597534,-1.4
41,-2,0.4977366328239441,-1.4
42,-2,0.001204303465783596,-1.4
43,-2,0.5134937763214111,-1.4
44,-2,0.4368949234485626,-1.6
45,0,0.008354928344488144,-1.4
46,-2,0.0202485304325819,-1.4
47,2,0.4533064663410187,-1.0
48,-2,0.43538784980773926,-1.0
49,-2,0.4231747090816498,-1.0
50,-2,0.6455473899841309,-1.4
51,-2,0.4076939821243286,-1.4
52,0,0.3858083486557007,-1.2
53,-2,0.3629860281944275,-1.2
54,-2,0.7135794162750244,-1.2
55,-2,0.5620256066322327,-1.4
56,-2,0.3217582404613495,-1.4
57,-2,0.30775392055511475,-1.8
58,-2,0.27482759952545166,-1.8
59,-2,0.1407480537891388,-1.8
60,-2,0.3300964832305908,-1.8
61,-2,0.015141959302127361,-1.8
62,-2,0.25229543447494507,-2.0
63,-2,0.27975261211395264,-2.0
64,-2,0.2704868018627167,-2.0
65,-2,0.09925757348537445,-2.0
66,-2,0.0003725248097907752,-2.0
67,-2,0.23208753764629364,-2.0
68,-2,0.006937618367373943,-2.0
69,-2,0.23988701403141022,-2.0
70,-2,0.06340733170509338,-2.0
71,-2,0.22619086503982544,-2.0
72,-2,0.23844587802886963,-2.0
73,-2,0.17982402443885803,-2.0
74,-2,0.19710369408130646,-2.0
75,-2,0.050138164311647415,-2.0
76,-2,0.17373107373714447,-2.0
77,-2,0.3719254732131958,-2.0
78,-2,0.005017404444515705,-2.0
79,-2,0.16941410303115845,-2.0
80,-2,0.02453834004700184,-2.0
81,-2,0.1902858018875122,-2.0
82,-2,0.2447001039981842,-2.0
83,0,0.007496814243495464,-1.8
84,0,0.03490287810564041,-1.6
85,-2,0.13899709284305573,-1.6
86,-2,0.014426133595407009,-1.6
87,-2,0.00022004538914188743,-1.6
88,-2,0.006632003001868725,-1.6
89,0,0.11374926567077637,-1.4
90,0,0.09114295244216919,-1.2
91,-2,0.11150486022233963,-1.2
92,-2,0.091671422123909,-1.2
93,0,0.11320770531892776,-1.2
94,0,0.13425986468791962,-1.2
95,-2,0.1254526823759079,-1.2
96,-2,0.009732875972986221,-1.2
97,0,0.052310142666101456,-1.0
98,-2,0.07116249203681946,-1.0
99,-2,0.024578742682933807,-1.2
100,0,0.0643247738480568,-1.2
101,-2,0.06614210456609726,-1.2
102,-2,8.18975386209786e-05,-1.2
103,-2,0.0827973335981369,-1.4
104,0,0.0797090232372284,-1.4
105,0,0.08894263952970505,-1.2
106,-2,0.07199288159608841,-1.2
107,-2,0.0001598928647581488,-1.4
108,-2,0.027615131810307503,-1.4
109,0,0.08470272272825241,-1.2
110,-2,0.0005287851672619581,-1.4
111,-2,0.09822716563940048,-1.4
112,-2,0.08765994757413864,-1.4
113,0,0.09129336476325989,-1.2
114,-2,0.0925285592675209,-1.4
115,-2,0.10391351580619812,-1.6
116,-2,0.004796862136572599,-1.6
117,-2,0.09852604568004608,-1.6
118,0,0.3579673767089844,-1.4
119,0,0.33869317173957825,-1.4
120,-2,0.0007132351165637374,-1.4
121,0,0.007671899162232876,-1.2
122,0,0.03508802875876427,-1.0
123,-2,0.001116202212870121,-1.2
124,-2,0.14330025017261505,-1.2
